"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2025","742.20","767.00","767.95","741.00","11.32M","-3.43%"
"04/08/2025","768.60","760.00","774.00","758.15","12.91M","2.91%"
"04/07/2025","746.90","730.00","753.70","730.00","14.92M","-2.68%"
"04/04/2025","767.45","779.10","782.90","765.00","8.23M","-1.51%"
"04/03/2025","779.20","770.00","784.70","769.95","7.96M","0.42%"
"04/02/2025","775.95","772.30","777.00","764.30","5.46M","0.55%"
"04/01/2025","771.70","766.80","782.75","763.20","7.01M","0.03%"
"03/28/2025","771.50","772.10","778.60","767.00","7.63M","-0.10%"
"03/27/2025","772.30","763.80","775.80","760.50","15.65M","1.09%"
"03/26/2025","764.00","772.00","776.05","761.45","7.71M","-1.15%"
"03/25/2025","772.85","783.90","786.00","769.20","15.19M","-1.02%"
"03/24/2025","780.80","758.00","782.95","755.10","12.10M","3.66%"
"03/21/2025","753.20","749.95","755.60","747.00","9.58M","0.49%"
"03/20/2025","749.55","748.00","752.70","744.20","6.96M","0.60%"
"03/19/2025","745.10","739.60","749.30","739.10","7.60M","1.14%"
"03/18/2025","736.70","726.60","738.45","722.60","8.09M","1.87%"
"03/17/2025","723.15","728.90","731.25","722.30","5.15M","-0.65%"
"03/13/2025","727.85","725.90","731.45","724.50","5.91M","0.66%"
"03/12/2025","723.05","730.60","737.00","719.05","5.55M","-0.93%"
"03/11/2025","729.85","724.90","734.05","722.70","5.54M","0.13%"
"03/10/2025","728.90","732.75","738.50","726.60","7.40M","-0.53%"
"03/07/2025","732.75","732.05","734.85","728.00","7.25M","0.10%"
"03/06/2025","732.05","736.00","736.75","727.00","10.93M","0.23%"
"03/05/2025","730.35","717.55","731.30","717.00","10.41M","2.00%"
"03/04/2025","716.05","693.00","718.45","692.10","14.39M","2.98%"
"03/03/2025","695.30","690.15","697.40","680.00","10.60M","0.94%"
"02/28/2025","688.80","700.90","701.35","682.60","15.78M","-2.15%"
"02/27/2025","703.90","716.00","717.70","701.10","12.03M","-0.98%"
"02/25/2025","710.90","718.95","718.95","710.00","8.60M","-0.77%"
"02/24/2025","716.40","710.50","719.75","710.50","6.91M","-0.78%"
"02/21/2025","722.00","727.30","731.70","720.00","6.57M","-1.06%"
"02/20/2025","729.70","724.90","731.50","723.35","7.42M","0.33%"
"02/19/2025","727.30","722.05","734.85","722.05","6.77M","0.21%"
